Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,Temp,TimeSec
646,2:07:11,Mulugeta WAMI,1982-07-17,ETH,6,Amsterdam (NED),2012-10-21,30,38,2012,12.4,7631.0
647,2:07:11,Alfers LAGAT,1986-08-07,KEN,3,Eindhoven (NED),2014-10-12,28,34,2014,12.4,7631.0
648,2:07:11,Nixson KURGAT,1988-05-02,KEN,1,Chuncheon (KOR),2014-10-26,26,32,2014,17.0,7631.0
649,2:07:11,CyBrian KOTUT,1992-06-06,KEN,1,Paris (FRA),2016-04-03,23,28,2016,14.6,7631.0
650,2:07:11,Benson KIPRUTO,1991-03-17,KEN,3,Seoul (KOR),2018-03-18,27,29,2018,8.9,7631.0
651,2:07:11,John LANGAT,1993-10-02,KEN,3,Eindhoven (NED),2019-10-13,26,27,2019,18.3,7631.0
652,2:07:12,Carlos LOPES,1947-02-18,POR,1,Rotterdam (NED),1985-04-20,38,73,1985,7.5,7632.0
653,2:07:12,Paul Kiprop KIRUI,1980-02-05,KEN,3,Amsterdam (NED),2007-10-21,27,40,2007,9.5,7632.0
654,2:07:12,James ROTICH,1978-12-22,KEN,4,Amsterdam (NED),2007-10-21,28,41,2007,9.5,7632.0
655,2:07:12,Shumi DECHASA,1989-05-28,ETH,2,Seoul (KOR),2013-03-17,23,31,2013,7.5,7632.0
656,2:07:12,Azmero Bekele MOLALIGN,1986-01-22,ETH,5,Dubai (UAE),2014-01-24,28,34,2014,19.4,7632.0
657,2:07:12,Solomon Kirwa YEGO,1987-05-10,KEN,3,Paris (FRA),2017-04-09,29,33,2017,17.6,7632.0
658,2:07:12,Philemon KACHERAN,1992-07-04,KEN,4,Barcelona (ESP),2019-03-10,26,28,2019,13.8,7632.0
659,2:07:12,Aweke AYALEW,1993-02-23,BRN,3,Frankfurt (GER),2019-10-27,26,27,2019,11.3,7632.0
660,2:07:13,Steve JONES,1955-08-04,GBR,1,"Chicago, IL (USA)",1985-10-20,30,65,1985,13.7,7633.0
661,2:07:13,Atsushi SATO,1978-05-08,JPN,3,Fukuoka (JPN),2007-12-02,29,42,2007,10.7,7633.0
662,2:07:13,Wilson Kipsang KIPROTICH,1982-03-15,KEN,3,Paris (FRA),2010-04-11,28,38,2010,9.2,7633.0
663,2:07:13,Tadesse TOLA,1987-10-31,ETH,4,Eindhoven (NED),2011-10-09,23,33,2011,10.3,7633.0
664,2:07:13,John Kipkorir KOMEN,1977-08-28,KEN,1,La Rochelle (FRA),2011-11-27,34,43,2011,10.5,7633.0
665,2:07:13,Shumi DECHASA,1989-05-28,BRN,6,Dubai (UAE),2014-01-24,24,31,2014,19.4,7633.0
666,2:07:13,Edwin KOECH,1992-03-25,KEN,1,Milano (ITA),2017-04-02,25,28,2017,14.0,7633.0
667,2:07:14,Daniel NJENGA,1976-05-07,KEN,3,"Chicago, IL (USA)",2005-10-09,29,44,2005,12.1,7634.0
668,2:07:14,Tsegaye KEBEDE,1987-01-15,ETH,3,"New York, NY (USA)",2011-11-06,24,33,2011,8.0,7634.0
669,2:07:14,Felix KENY,1985-12-25,KEN,1,Valencia (ESP),2013-11-17,27,34,2013,12.0,7634.0
670,2:07:14,Paul LONYANGATA,1992-12-12,KEN,1,Shanghai (CHN),2015-11-08,22,28,2015,13.7,7634.0
671,2:07:15,Japheth KOSGEI,1968-12-20,KEN,1,Tokyo (JPN),2000-02-13,31,51,2000,8.7,7635.0
672,2:07:15,Dmytri BARANOVSKIY,1979-07-28,UKR,2,Fukuoka (JPN),2006-12-03,27,41,2006,7.4,7635.0
673,2:07:15,Silas CHEPROT,1992-01-01,KEN,1,Gongju (KOR),2014-10-19,22,28,2014,,7635.0
674,2:07:15,Leul GEBRESILASE,1992-09-20,ETH,8,London (GBR),2019-04-28,26,28,2019,10.8,7635.0
675,2:07:16,Isaac Wanjohi MACHARIA,1978-11-25,KEN,2,Dubai (UAE),2008-01-18,29,42,2008,15.5,7636.0
676,2:07:16,Jaouad GHARIB,1972-05-22,MAR,2,"National Stadium, Beijing (CHN)",2008-08-24,36,48,2008,,7636.0
677,2:07:16,Bernard Kiprop KIPYEGO,1986-07-16,KEN,2,Paris (FRA),2011-04-10,24,34,2011,18.3,7636.0
678,2:07:16,Tadesse TOLA,1987-10-31,ETH,1,Beijing (CHN),2013-10-20,25,33,2013,12.9,7636.0
679,2:07:16,Martin Irungu MATHATHI,1985-12-25,KEN,1,Fukuoka (JPN),2013-12-01,27,34,2013,9.3,7636.0
680,2:07:16,Deribe ROBI,1990-09-26,ETH,5,Frankfurt (GER),2014-10-26,24,30,2014,12.8,7636.0
681,2:07:16,Tilahun REGASSA,1990-01-18,ETH,5,London (GBR),2015-04-26,25,30,2015,9.8,7636.0
682,2:07:16,Abayneh AYELE,1987-11-04,ETH,4,Eindhoven (NED),2015-10-11,27,33,2015,7.7,7636.0
683,2:07:16,Jacob Kibet Chulyo KENDAGOR,1984-08-24,KEN,2,Marrakesh (MAR),2020-01-26,35,36,2020,11.5,7636.0
684,2:07:17,Benjamin KIPTOO,1979-01-10,KEN,1,Roma (ITA),2009-03-22,30,41,2009,7.8,7637.0
685,2:07:17,Stephen TUM,1986-07-12,KEN,2,Praha (CZE),2012-05-13,25,34,2012,8.1,7637.0
686,2:07:17,Lucas Kimeli ROTICH,1990-04-16,KEN,1,Hamburg (GER),2015-04-26,25,30,2015,10.6,7637.0
687,2:07:18,Kenneth CHERUIYOT,1974-02-08,KEN,2,Rotterdam (NED),2001-04-22,27,46,2001,5.7,7638.0
688,2:07:18,David Barmasai TUMO,1987-01-01,KEN,1,Dubai (UAE),2011-01-21,24,33,2011,20.0,7638.0
689,2:07:18,Nixson KURGAT,1988-05-02,KEN,3,Daegu (KOR),2014-04-06,25,32,2014,9.2,7638.0
690,2:07:18,Lucas Kimeli ROTICH,1990-04-16,KEN,2,Amsterdam (NED),2014-10-19,24,30,2014,17.3,7638.0
691,2:07:18,Ezekiel CHEBII,1991-01-03,KEN,2,Amsterdam (NED),2015-10-18,24,29,2015,8.7,7638.0
692,2:07:18,Amanal PETROS,1995-05-17,GER,16,Valencia (ESP),2020-12-06,25,25,2020,10.6,7638.0
693,2:07:19,Khalid KHANNOUCHI,1971-12-22,MAR,2,"Chicago, IL (USA)",1998-10-11,26,48,1998,14.4,7639.0
694,2:07:19,Jaouad GHARIB,1972-05-22,MAR,3,Fukuoka (JPN),2006-12-03,34,48,2006,7.4,7639.0
695,2:07:19,Mubarak Hassan SHAMI,1980-12-02,QAT,1,Paris (FRA),2007-04-15,26,40,2007,20.6,7639.0
696,2:07:19,Bernard Kiprop KIPYEGO,1986-07-16,KEN,2,Beijing (CHN),2013-10-20,27,34,2013,12.9,7639.0
697,2:07:19,Mule WASIHUN,1993-10-20,ETH,9,Amsterdam (NED),2016-10-16,22,27,2016,13.4,7639.0
698,2:07:19,Lucas Kimeli ROTICH,1990-04-16,KEN,5,Rotterdam (NED),2017-04-09,26,30,2017,12.4,7639.0
699,2:07:19,Suguru OSAKO,1991-05-23,JPN,3,Fukuoka (JPN),2017-12-03,26,29,2017,9.8,7639.0
700,2:07:19,Ayele ABSHERO,1990-12-28,ETH,3,Hamburg (GER),2018-04-29,27,29,2018,13.7,7639.0
701,2:07:19,Leul GEBRESILASE,1992-09-20,ETH,9,Valencia (ESP),2019-12-01,27,28,2019,15.9,7639.0
702,2:07:19,Eyob GHEBREHIWET FANIEL,1992-11-26,ITA,7,Sevilla (ESP),2020-02-23,27,28,2020,16.2,7639.0
703,2:07:20,Vincent ROUSSEAU,1962-07-29,BEL,2,Berlin (GER),1995-09-24,33,58,1995,13.1,7640.0
704,2:07:20,Bong-ju LEE,1970-10-11,KOR,2,Tokyo (JPN),2000-02-13,29,50,2000,8.7,7640.0
705,2:07:20,Stephen KIPROTICH,1989-02-27,UGA,1,Enschede (NED),2011-04-17,22,31,2011,9.9,7640.0
706,2:07:20,Daniel Kipkurgat RONO,1978-07-13,KEN,3,Beijing (CHN),2013-10-20,35,42,2013,12.9,7640.0
707,2:07:20,Shumi DECHASA,1989-05-28,BRN,4,Tokyo (JPN),2015-02-22,25,31,2015,6.3,7640.0
708,2:07:20,Lukas Lokobe KANDA,1983-01-01,KEN,2,Paris (FRA),2015-04-12,32,37,2015,11.8,7640.0
709,2:07:20,Philemon RONO,1991-02-08,KEN,2,Hamburg (GER),2016-04-17,25,29,2016,7.6,7640.0
710,2:07:20,Hillary KIPSAMBU,1985-02-04,KEN,9,Amsterdam (NED),2018-10-21,33,35,2018,13.1,7640.0
711,2:07:20,Josphat BOIT,1995-11-25,KEN,6,Rotterdam (NED),2019-04-07,23,25,2019,13.3,7640.0
712,2:07:20,Martin KIPRUGUT KOSGEY,1989-03-21,KEN,4,Frankfurt (GER),2019-10-27,30,31,2019,11.3,7640.0
713,2:07:20,Maru TEFERI,1992-08-17,ISR,8,Sevilla (ESP),2020-02-23,27,28,2020,16.2,7640.0
714,2:07:20,Shin KIMURA,1988-08-08,JPN,11,Tokyo (JPN),2020-03-01,31,32,2020,11.8,7640.0
715,2:07:21,Robert Kiprono CHERUIYOT,1988-08-10,KEN,1,Frankfurt (GER),2008-10-26,20,32,2008,7.2,7641.0
716,2:07:21,Mark Kosgei KIPTOO,1976-06-21,KEN,2,Rotterdam (NED),2015-04-12,38,44,2015,9.9,7641.0
717,2:07:21,Lukas Lokobe KANDA,1983-01-01,KEN,1,Chuncheon (KOR),2016-10-23,33,37,2016,11.3,7641.0
718,2:07:21,Yitayal Atnafu ZERIHUN,1993-01-20,ETH,4,Paris (FRA),2017-04-09,24,27,2017,17.6,7641.0
719,2:07:21,Benson KIPRUTO,1991-03-17,KEN,2,Gongju (KOR),2017-10-15,26,29,2017,,7641.0
720,2:07:22,Stefano BALDINI,1971-05-25,ITA,5,London (GBR),2006-04-23,34,49,2006,11.8,7642.0
721,2:07:22,Sammy KITWARA,1986-11-26,KEN,3,Rotterdam (NED),2013-04-14,26,34,2013,15.7,7642.0
722,2:07:22,Peter Kimeli SOME,1990-06-05,KEN,5,Tokyo (JPN),2015-02-22,24,30,2015,6.3,7642.0
723,2:07:22,Martin KIPRUGUT KOSGEY,1989-03-21,KEN,2,Frankfurt (GER),2016-10-30,27,31,2016,8.5,7642.0
724,2:07:22,Marius KIPSEREM,1988-05-17,KEN,5,Rotterdam (NED),2018-04-08,29,32,2018,13.7,7642.0
725,2:07:22,Evans CHEBET,1988-11-10,KEN,2,Milano (ITA),2019-04-07,30,32,2019,11.1,7642.0
726,2:07:22,Balew YIHUNLE,1998-09-21,ETH,2,Chuncheon (KOR),2019-10-27,21,22,2019,9.6,7642.0
727,2:07:23,Fabián RONCERO,1970-10-19,ESP,2,Rotterdam (NED),1999-04-18,28,50,1999,5.6,7643.0
728,2:07:23,Viktor RÖTHLIN,1974-10-14,SUI,1,Tokyo (JPN),2008-02-17,33,46,2008,3.7,7643.0
729,2:07:23,David Mandago KIPKORIR,1974-12-15,KEN,1,Hamburg (GER),2008-04-27,33,45,2008,14.9,7643.0
730,2:07:23,Nicolas Kipruto KOECH,1982-01-01,KEN,3,Praha (CZE),2010-05-09,28,38,2010,12.5,7643.0
731,2:07:23,Chele DECHASA,1984-06-13,ETH,3,Amsterdam (NED),2010-10-17,26,36,2010,5.9,7643.0
732,2:07:23,Dickson CHUMBA,1986-10-27,KEN,7,Frankfurt (GER),2011-10-30,25,34,2011,11.9,7643.0
733,2:07:23,Augustine RONO,1982-01-01,KEN,3,Hamburg (GER),2012-04-29,30,38,2012,12.6,7643.0
734,2:07:23,Geoffrey KIRUI,1993-02-16,KEN,3,Rotterdam (NED),2016-04-10,23,27,2016,10.1,7643.0
735,2:07:23,Alemayehu LEMA,1982-10-12,ETH,9,Sevilla (ESP),2020-02-23,37,38,2020,16.2,7643.0
736,2:07:23,Yusuke OGURA,1993-04-16,JPN,12,Tokyo (JPN),2020-03-01,26,27,2020,11.8,7643.0
737,2:07:24,Hosea Kiprop ROTICH,1979-08-02,KEN,3,Paris (FRA),2008-04-06,28,41,2008,5.0,7644.0
738,2:07:24,Lawrence CHERONO,1988-08-07,KEN,1,Praha (CZE),2016-05-08,27,32,2016,15.5,7644.0
739,2:07:24,Benson KIPRUTO,1991-03-17,KEN,1,Toronto (CAN),2018-10-21,27,29,2018,4.1,7644.0
740,2:07:24,Tadesse ABRAHAM,1982-08-12,SUI,2,Wien (AUT),2019-04-07,36,38,2019,13.3,7644.0
741,2:07:25,Markos GENETI,1984-06-07,ETH,6,Tokyo (JPN),2015-02-22,30,36,2015,6.3,7645.0
742,2:07:25,Eliud KIPTANUI,1989-06-06,KEN,5,Valencia (ESP),2017-11-19,28,31,2017,12.8,7645.0
743,2:07:25,Abrha MILAW ASEFA,1988-02-27,ETH,1,Cannes (FRA),2018-11-04,30,32,2018,17.7,7645.0
744,2:07:25,Asefa MENGSTU,1988-01-22,ETH,2,Paris (FRA),2019-04-14,31,32,2019,5.9,7645.0
745,2:07:26,Fabián RONCERO,1970-10-19,ESP,1,Rotterdam (NED),1998-04-19,27,50,1998,9.4,7646.0
746,2:07:26,Benjamin KOSKEI,1971-09-05,KEN,1,Amsterdam (NED),2002-10-20,31,49,2002,8.0,7646.0
747,2:07:26,Martin Kiptolo LEL,1978-10-29,KEN,1,London (GBR),2005-04-17,26,42,2005,10.0,7646.0
748,2:07:26,Samuel NDUNGU,1988-04-04,KEN,7,"Chicago, IL (USA)",2012-10-07,24,32,2012,7.2,7646.0
749,2:07:26,Girmay Birhanu GEBRU,1987-01-27,ETH,1,Daegu (KOR),2015-04-05,28,33,2015,9.9,7646.0
750,2:07:26,Tsegaye MEKONNEN,1995-06-15,ETH,1,Hamburg (GER),2017-04-23,21,25,2017,5.9,7646.0
751,2:07:26,Balew YIHUNLE,1998-09-21,ETH,13,Dubai (UAE),2020-01-24,21,22,2020,20.6,7646.0
752,2:07:26,Lucas Kimeli ROTICH,1990-04-16,KEN,17,Valencia (ESP),2020-12-06,30,30,2020,10.6,7646.0
753,2:07:27,Josphat Machuka KIPRONO,1973-12-12,KEN,2,Berlin (GER),1998-09-20,24,47,1998,13.8,7647.0
754,2:07:27,Julio REY,1972-01-13,ESP,1,Hamburg (GER),2003-04-27,31,48,2003,10.7,7647.0
755,2:07:27,Yared ASMEROM,1980-02-04,ERI,2,Chuncheon (KOR),2011-10-23,31,40,2011,14.6,7647.0
756,2:07:27,Seboka Dibaba TOLA,1987-11-10,ETH,3,Seoul (KOR),2013-03-17,25,33,2013,7.5,7647.0
757,2:07:27,Yuma HATTORI,1993-11-13,JPN,1,Fukuoka (JPN),2018-12-02,25,27,2018,14.7,7647.0
758,2:07:27,Javier GUERRA,1983-11-10,ESP,10,Sevilla (ESP),2020-02-23,36,37,2020,16.2,7647.0
759,2:07:27,Yuta SHIMODA,1996-03-31,JPN,13,Tokyo (JPN),2020-03-01,23,24,2020,11.8,7647.0
760,2:07:28,Josiah THUGWANE,1971-04-15,RSA,1,Fukuoka (JPN),1997-12-07,26,49,1997,16.2,7648.0
761,2:07:28,Evans RUTTO,1978-04-08,KEN,4,"Chicago, IL (USA)",2005-10-09,27,42,2005,12.1,7648.0
762,2:07:28,Tesfamriam Samuel TSEGAY,1988-02-24,ERI,8,Amsterdam (NED),2011-10-16,23,32,2011,8.3,7648.0
763,2:07:28,Eshetu WENDIMU,1986-10-03,ETH,11,Dubai (UAE),2012-01-27,25,34,2012,17.7,7648.0
764,2:07:28,Eliud KIPTANUI,1989-06-06,KEN,5,Berlin (GER),2014-09-28,25,31,2014,13.7,7648.0
765,2:07:28,John Nzau MWANGANGI,1990-01-11,KEN,3,Amsterdam (NED),2014-10-19,24,30,2014,17.3,7648.0
766,2:07:28,CyBrian KOTUT,1992-06-06,KEN,3,Frankfurt (GER),2016-10-30,24,28,2016,8.5,7648.0
767,2:07:28,Shura KITATA,1996-06-09,ETH,1,Roma (ITA),2017-04-02,20,24,2017,13.7,7648.0
768,2:07:28,Amos MITEI,1992-03-10,KEN,4,Frankfurt (GER),2018-10-28,26,28,2018,6.3,7648.0
769,2:07:28,Girmaw AMARE,1987-10-26,ISR,11,Sevilla (ESP),2020-02-23,32,33,2020,16.2,7648.0
770,2:07:29,Josphat KIPRONO,1973-12-12,KEN,2,"Chicago, IL (USA)",2000-10-22,26,47,2000,15.6,7649.0
771,2:07:29,Stefano BALDINI,1971-05-25,ITA,6,London (GBR),2002-04-14,30,49,2002,8.0,7649.0
772,2:07:29,Salim KIPSANG,1979-12-22,KEN,3,Berlin (GER),2007-09-30,27,40,2007,13.7,7649.0
773,2:07:29,Abraham CHERKOS,1989-09-23,ETH,4,Amsterdam (NED),2010-10-17,21,31,2010,5.9,7649.0
774,2:07:29,Ronald KORIR,1991-04-10,KEN,6,Frankfurt (GER),2014-10-26,23,29,2014,12.8,7649.0
775,2:07:29,Laban Kipngetich KORIR,1985-06-30,KEN,2,Paris (FRA),2016-04-03,30,35,2016,14.6,7649.0
776,2:07:29,Kelkile GEZAHEGN,1996-10-01,ETH,6,Rotterdam (NED),2017-04-09,20,24,2017,12.4,7649.0
777,2:07:29,Paul LONYANGATA,1992-12-12,KEN,3,Paris (FRA),2019-04-14,26,28,2019,5.9,7649.0
778,2:07:29,Kelkile GEZAHEGN,1996-10-01,ETH,1,Ljubljana (SLO),2019-10-27,23,24,2019,12.2,7649.0
779,2:07:29,Evans CHEBET,1988-11-10,KEN,1,Otsu (JPN),2020-03-08,31,32,2020,,7649.0
780,2:07:30,Jackson Kobut KIPKOECH,1988-02-12,KEN,1,Barcelona (ESP),2010-03-07,22,32,2010,7.1,7650.0
781,2:07:30,Patrick TAMBWÉ,1975-05-05,FRA,1,See Genezareth (ISR),2012-01-12,36,45,2012,,7650.0
782,2:07:30,Asbel KIPSANG,1993-09-10,KEN,6,Seoul (KOR),2016-03-20,22,27,2016,9.4,7650.0
783,2:07:30,Stephen CHEBOGUT,1985-01-09,KEN,7,Amsterdam (NED),2017-10-15,32,35,2017,16.1,7650.0
784,2:07:30,Feyisa LILESA,1990-02-01,ETH,6,Tokyo (JPN),2018-02-25,28,30,2018,5.7,7650.0
785,2:07:30,Limenih GETACHEW,1990-04-30,ETH,5,Barcelona (ESP),2019-03-10,28,30,2019,13.8,7650.0
786,2:07:30,Solomon Kirwa YEGO,1987-05-10,KEN,5,Praha (CZE),2019-05-05,31,33,2019,6.0,7650.0
787,2:07:31,Jonathan Kosgei KIPKORIR,1982-12-29,KEN,7,Paris (FRA),2009-04-05,26,37,2009,12.5,7651.0
788,2:07:31,Levi Omari MATEBO,1989-11-03,KEN,1,Barcelona (ESP),2011-03-06,21,31,2011,10.4,7651.0
789,2:07:31,Felix KENY,1985-12-25,KEN,5,Seoul (KOR),2012-03-18,26,34,2012,7.6,7651.0
790,2:07:31,Sisay LEMMA,1990-12-12,ETH,1,Wien (AUT),2015-04-12,24,30,2015,15.3,7651.0
791,2:07:31,Stephen KIPROTICH,1989-02-27,UGA,2,Hamburg (GER),2017-04-23,28,31,2017,5.9,7651.0
792,2:07:31,Masato KIKUCHI,1990-09-18,JPN,14,Tokyo (JPN),2020-03-01,29,30,2020,11.8,7651.0
793,2:07:32,Rodgers ROP,1976-02-16,KEN,1,Hamburg (GER),2007-04-29,31,44,2007,10.3,7652.0
794,2:07:32,Sammy Kipchoge KORIR,1971-12-12,KEN,1,Seoul (KOR),2008-03-16,36,49,2008,6.8,7652.0
795,2:07:32,Francis Kibiwott LARABAL,1978-09-15,KEN,2,See Genezareth (ISR),2012-01-12,33,42,2012,,7652.0
796,2:07:32,Negari Getachew TERFA,1983-01-01,ETH,1,Xiamen (CHN),2013-01-05,30,37,2013,10.8,7652.0
797,2:07:32,Bazu WORKU HAYLA,1990-09-15,ETH,1,"Houston, TX (USA)",2014-01-19,23,30,2014,15.0,7652.0
798,2:07:32,Mathew Kipkoech KISORIO,1989-05-16,KEN,1,Daegu (KOR),2017-04-02,27,31,2017,8.7,7652.0
799,2:07:32,Elisha ROTICH,1990-04-12,KEN,1,Eindhoven (NED),2018-10-14,28,30,2018,19.3,7652.0
800,2:07:32,Wondwosen FELEKE,1993-01-01,ETH,3,Marrakesh (MAR),2020-01-26,27,27,2020,11.5,7652.0
801,2:07:33,Abdelkader EL MOUAZIZ,1969-01-01,MAR,2,London (GBR),2000-04-16,31,51,2000,8.1,7653.0
802,2:07:33,Oleksandr KUZIN,1974-10-21,UKR,1,Linz (AUT),2007-04-15,32,46,2007,,7653.0
803,2:07:33,Wilfred Kibet KIGEN,1975-02-23,KEN,2,Hamburg (GER),2007-04-29,32,45,2007,10.3,7653.0
804,2:07:33,Charles Waweru KAMATHI,1978-05-18,KEN,3,Rotterdam (NED),2008-04-13,29,42,2008,8.2,7653.0
805,2:07:33,Abderrahim BOURAMDANE,1978-01-01,MAR,4,London (GBR),2010-04-25,32,42,2010,14.0,7653.0
806,2:07:33,Eshetu WENDIMU,1986-10-03,ETH,3,Paris (FRA),2011-04-10,24,34,2011,18.3,7653.0
807,2:07:33,Seboka Dibaba TOLA,1987-11-10,ETH,3,Paris (FRA),2015-04-12,27,33,2015,11.8,7653.0
808,2:07:33,Bernard Kiprop KIPYEGO,1986-07-16,KEN,2,Tokyo (JPN),2016-02-28,29,34,2016,8.8,7653.0
809,2:07:33,Jacob Kibet Chulyo KENDAGOR,1984-08-24,KEN,6,Seoul (KOR),2017-03-19,32,36,2017,9.2,7653.0
810,2:07:33,Deribe ROBI,1990-09-26,ETH,9,Valencia (ESP),2018-12-02,28,30,2018,13.5,7653.0
811,2:07:33,Hamid BEN DAOUD,1996-02-19,ESP,12,Sevilla (ESP),2020-02-23,24,24,2020,16.2,7653.0
812,2:07:34,Antonio PENA,1970-08-26,ESP,1,Otsu (JPN),2001-03-04,30,50,2001,,7654.0
813,2:07:34,Rodgers ROP,1976-02-16,KEN,6,London (GBR),2006-04-23,30,44,2006,11.8,7654.0
814,2:07:34,Yonas KIFLE,1977-11-05,ERI,5,Amsterdam (NED),2007-10-21,29,43,2007,9.5,7654.0
815,2:07:34,Gudisa SHENTAMA,1980-06-19,ETH,4,Paris (FRA),2008-04-06,27,40,2008,5.0,7654.0
816,2:07:34,Elija KEMBOI,1984-09-10,KEN,3,Frankfurt (GER),2013-10-27,29,36,2013,15.7,7654.0
817,2:07:34,Dickson CHUMBA,1986-10-27,KEN,3,Tokyo (JPN),2016-02-28,29,34,2016,8.8,7654.0
818,2:07:34,Tesfamriam Samuel TSEGAY,1988-02-24,ERI,6,Valencia (ESP),2017-11-19,29,32,2017,12.8,7654.0
819,2:07:34,Kenneth KETER,1996-08-04,KEN,5,Frankfurt (GER),2018-10-28,22,24,2018,6.3,7654.0
820,2:07:35,Abebe MEKONNEN,1964-01-09,ETH,1,Beijing (CHN),1988-10-16,24,56,1988,15.1,7655.0
821,2:07:35,Robert Kipkoech CHERUIYOT,1978-09-26,KEN,1,"Chicago, IL (USA)",2006-10-22,28,42,2006,4.1,7655.0
822,2:07:35,Paul Kiprop KIRUI,1980-02-05,KEN,3,Seoul (KOR),2010-03-21,30,40,2010,3.4,7655.0
823,2:07:35,Hailu MEKONNEN,1980-04-04,ETH,1,Tokyo (JPN),2011-02-27,30,40,2011,10.3,7655.0
824,2:07:35,Teferi BACHA,1981-01-21,ETH,3,See Genezareth (ISR),2012-01-12,30,39,2012,,7655.0
825,2:07:35,Gilbert Kipruto KIRWA,1985-12-20,KEN,3,Frankfurt (GER),2012-10-28,26,34,2012,1.6,7655.0
826,2:07:35,Limenih GETACHEW,1990-04-30,ETH,2,Hamburg (GER),2013-04-21,22,30,2013,9.1,7655.0
827,2:07:35,Franklin CHEPKWONY,1984-06-15,KEN,6,Berlin (GER),2014-09-28,30,36,2014,13.7,7655.0
828,2:07:35,Julius Kiprono TARUS,1991-11-11,KEN,4,Eindhoven (NED),2019-10-13,27,29,2019,18.3,7655.0
829,2:07:36,Felix KENY,1985-12-25,KEN,2,Barcelona (ESP),2010-03-07,24,34,2010,7.1,7656.0
830,2:07:36,Kenneth Mburu MUNGARA,1973-09-07,KEN,2,Praha (CZE),2011-05-08,37,47,2011,13.9,7656.0
831,2:07:36,Josphat Muchiri NDAMBIRI,1985-02-12,KEN,1,Fukuoka (JPN),2011-12-04,26,35,2011,12.6,7656.0
832,2:07:37,Robert CHEBOROR,1978-09-09,KEN,2,Hamburg (GER),2006-04-23,27,42,2006,9.1,7657.0
833,2:07:37,Jason MBOTE,1977-01-05,KEN,2,Seoul (KOR),2008-03-16,31,43,2008,6.8,7657.0
834,2:07:37,David Mandago KIPKORIR,1974-12-15,KEN,2,"Chicago, IL (USA)",2008-10-12,33,45,2008,21.2,7657.0
835,2:07:37,Teshome Etanat GELANA,1983-10-31,ETH,1,"Houston, TX (USA)",2010-01-17,26,37,2010,12.0,7657.0
836,2:07:37,Hailu MEKONNEN,1980-04-04,ETH,5,Amsterdam (NED),2010-10-17,30,40,2010,5.9,7657.0
837,2:07:37,Peter KAMAIS,1976-11-07,KEN,1,Xiamen (CHN),2012-01-07,35,44,2012,11.6,7657.0
838,2:07:37,Michael KIPYEGO,1983-10-02,KEN,1,Tokyo (JPN),2012-02-26,28,37,2012,6.1,7657.0
839,2:07:37,Alfred KERING,1978-11-20,KEN,1,Köln (GER),2012-10-14,33,42,2012,7.7,7657.0
840,2:07:37,Geoffrey KAMWOROR,1992-11-28,KEN,6,Tokyo (JPN),2014-02-23,21,28,2014,5.5,7657.0
841,2:07:37,Stephen CHEMLANY,1982-08-09,KEN,3,Paris (FRA),2016-04-03,33,38,2016,14.6,7657.0
842,2:07:37,Solomon Kirwa YEGO,1987-05-10,KEN,4,Hamburg (GER),2018-04-29,30,33,2018,13.7,7657.0
843,2:07:37,Benson SEUREI,1984-03-27,BRN,10,Valencia (ESP),2018-12-02,34,36,2018,13.5,7657.0
844,2:07:38,Julio REY,1972-01-13,ESP,1,Hamburg (GER),2005-04-24,33,48,2005,8.4,7658.0
845,2:07:38,Abel KIRUI,1982-06-04,KEN,1,Wien (AUT),2008-04-27,25,38,2008,13.4,7658.0
846,2:07:38,Charles Waweru KAMATHI,1978-05-18,KEN,1,Eindhoven (NED),2010-10-10,32,42,2010,13.1,7658.0
847,2:07:38,Nicholas Chelimo KIPKORIR,1983-01-08,KEN,2,Eindhoven (NED),2010-10-10,27,37,2010,13.1,7658.0
848,2:07:38,Abel KIRUI,1982-06-04,KEN,1,"DS, Daegu (KOR)",2011-09-04,29,38,2011,,7658.0
849,2:07:38,Gilbert YEGON,1988-08-06,KEN,2,Wien (AUT),2012-04-15,23,32,2012,10.6,7658.0
850,2:07:38,Teferi BACHA,1981-01-21,ETH,5,Paris (FRA),2012-04-15,31,39,2012,7.5,7658.0
851,2:07:38,James Kipsang KWAMBAI,1983-02-28,KEN,6,Seoul (KOR),2014-03-16,31,37,2014,11.0,7658.0
852,2:07:38,Markos GENETI,1984-06-07,ETH,1,Hengshui (CHN),2014-09-20,30,36,2014,,7658.0
853,2:07:38,Laban MUTAI,1988-01-15,KEN,2,Eindhoven (NED),2018-10-14,30,32,2018,19.3,7658.0
854,2:07:38,Shohei OTSUKA,1994-08-13,JPN,2,Fukuoka (JPN),2020-12-06,26,26,2020,9.6,7658.0
855,2:07:39,Japheth KOSGEI,1968-12-20,KEN,1,Otsu (JPN),2003-03-02,34,51,2003,,7659.0
856,2:07:39,Benjamin KOSKEI,1971-09-05,KEN,3,Amsterdam (NED),2003-10-19,32,49,2003,7.1,7659.0
857,2:07:39,Henryk SZOST,1982-01-20,POL,2,Otsu (JPN),2012-03-04,30,38,2012,,7659.0
858,2:07:39,Limenih GETACHEW,1990-04-30,ETH,2,Köln (GER),2012-10-14,22,30,2012,7.7,7659.0
