Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,TimeSec
5430,2:11:18,Tessema ABSHERO,1986-12-09,ETH,12,London (GBR),2009-04-26,22,34,2009,7878.0
5431,2:11:18,Aden Jemal HUSSEIN,1986-01-01,ETH,3,Hannover (GER),2009-05-03,23,34,2009,7878.0
5432,2:11:18,Kipkemoi KIPSANG,1990-10-10,KEN,2,Hamburg (GER),2011-05-22,20,30,2011,7878.0
5433,2:11:18,Kohei MATSUMURA,1986-11-05,JPN,4,Oita (JPN),2012-02-05,25,34,2012,7878.0
5434,2:11:18,Josephat KILIMO KEIYO,1982-01-01,KEN,1,Linz (AUT),2012-04-22,30,38,2012,7878.0
5435,2:11:18,Abdelkrim BOUBKER,1981-01-10,MAR,4,Ottawa (CAN),2012-05-27,31,39,2012,7878.0
5436,2:11:18,Jacob Kibet Chulyo KENDAGOR,1984-08-24,KEN,5,Seoul (KOR),2013-11-03,29,36,2013,7878.0
5437,2:11:18,Ishimael BUSHENDICH,1991-07-07,KEN,5,Mumbai (IND),2014-01-19,22,29,2014,7878.0
5438,2:11:18,Ryosuke FUKUYAMA,1980-09-25,JPN,5,Otsu (JPN),2014-03-02,33,40,2014,7878.0
5439,2:11:18,Gebo BURKA,1987-08-28,ETH,1,Sydney (AUS),2014-09-21,27,33,2014,7878.0
5440,2:11:18,Ser-Od BAT-OCHIR,1981-10-07,MGL,3,Otsu (JPN),2015-03-01,33,39,2015,7878.0
5441,2:11:18,Kiprop LIMO,1993-01-01,KEN,1,Dongguan (CHN),2016-03-27,23,27,2016,7878.0
5442,2:11:18,Duncan Cheruiyot KOECH,1981-12-28,KEN,2,Linz (AUT),2016-04-03,34,38,2016,7878.0
5443,2:11:18,Salah-Eddine BOUNASR,1990-09-27,MAR,1,Beijing (CHN),2017-09-17,26,30,2017,7878.0
5444,2:11:18,Yoshiki TAKENOUCHI,1992-05-25,JPN,8,"New York, NY (USA)",2019-11-03,27,28,2019,7878.0
5445,2:11:18,Ebba Tulu CHALA,1996-06-22,SWE,31,Sevilla (ESP),2020-02-23,23,24,2020,7878.0
5446,2:11:19,Jack FOSTER,1932-05-23,NZL,2,Christchurch (NZL),1974-01-31,41,88,1974,7879.0
5447,2:11:19,Pier-Giovanni POLI,1957-11-05,ITA,4,Fukuoka (JPN),1981-12-06,24,63,1981,7879.0
5448,2:11:19,Kebede BALCHA,1951-09-07,ETH,11,Hiroshima (JPN),1985-04-14,33,69,1985,7879.0
5449,2:11:19,Kunimitsu ITO,1955-01-06,JPN,3,Fukuoka (JPN),1985-12-01,30,65,1985,7879.0
5450,2:11:19,Yuichiro OSUDA,1962-10-28,JPN,2,Fukuoka (JPN),1986-12-07,24,58,1986,7879.0
5451,2:11:19,Ravil KASHAPOV,1956-11-15,URS,3,Fukuoka (JPN),1988-12-04,32,64,1988,7879.0
5452,2:11:19,Ahmed SALAH,1956-12-31,DJI,4,Paris (FRA),1994-04-24,37,63,1994,7879.0
5453,2:11:19,Samwel MARITIM,1965-02-10,KEN,6,Berlin (GER),1996-09-29,31,55,1996,7879.0
5454,2:11:19,Johannes MAREMANE,1965-09-27,RSA,4,Reims (FRA),1996-10-10,31,55,1996,7879.0
5455,2:11:19,Eliud KERING,1974-01-01,KEN,1,Praha (CZE),1999-05-23,25,46,1999,7879.0
5456,2:11:19,Joshua PETERSON,1971-01-01,RSA,2,Cape Town (RSA),2000-03-04,29,49,2000,7879.0
5457,2:11:19,Koen ALLAERT,1972-09-29,BEL,11,Rotterdam (NED),2000-04-16,27,48,2000,7879.0
5458,2:11:19,Roberto BARBI,1965-03-25,ITA,1,Trieste (ITA),2001-05-06,36,55,2001,7879.0
5459,2:11:19,Tesfaye ETICHA,1974-09-16,ETH,9,Berlin (GER),2001-09-30,27,46,2001,7879.0
5460,2:11:19,Vanderlei Cordeiro DA LIMA,1969-08-11,BRA,1,São Paulo (BRA),2002-07-14,32,51,2002,7879.0
5461,2:11:19,Kamal ZIANI,1972-02-20,ESP,10,Tokyo (JPN),2004-02-08,31,48,2004,7879.0
5462,2:11:19,Johnstone Kipkorir CHEPKWONY,1984-05-05,KEN,2,Brescia (ITA),2004-03-14,19,36,2004,7879.0
5463,2:11:19,Gert THYS,1971-11-12,RSA,2,Seoul (KOR),2005-03-13,33,49,2005,7879.0
5464,2:11:19,Grigoriy ANDREYEV,1976-01-07,RUS,2,Nagano (JPN),2006-04-16,30,44,2006,7879.0
5465,2:11:19,Stanley Kipleting BIWOTT,1986-04-21,KEN,1,São Paulo (BRA),2010-05-02,24,34,2010,7879.0
5466,2:11:19,Masashi HAYASHI,1979-07-17,JPN,9,Otsu (JPN),2011-03-06,31,41,2011,7879.0
5467,2:11:19,Felix KENY,1985-12-25,KEN,3,Gongju (KOR),2011-10-16,25,34,2011,7879.0
5468,2:11:19,Elisha Kiprop BARNO,1985-01-01,KEN,6,Nairobi (KEN),2012-10-28,27,35,2012,7879.0
5469,2:11:19,Moses MOSOP,1985-07-07,KEN,8,"Chicago, IL (USA)",2013-10-13,28,35,2013,7879.0
5470,2:11:19,Chris THOMPSON,1981-04-17,GBR,11,London (GBR),2014-04-13,32,39,2014,7879.0
5471,2:11:19,Michael SHELLEY,1983-10-10,AUS,12,London (GBR),2015-04-26,31,37,2015,7879.0
5472,2:11:19,Eliud TARUS,1993-03-03,KEN,4,Barcelona (ESP),2016-03-13,23,27,2016,7879.0
5473,2:11:19,Gilbert MASAI,1989-12-16,KEN,7,Košice (SVK),2017-10-01,27,30,2017,7879.0
5474,2:11:19,Abraham NIYONKURU,1989-12-26,BDI,12,Paris (FRA),2018-04-08,28,30,2018,7879.0
5475,2:11:19,Christian PACHECO,1993-05-26,PER,3,Buenos Aires (ARG),2018-09-23,25,27,2018,7879.0
5477,2:11:19,Kang Bom RI,1993-04-25,PRK,1,Pyongyang (PRK),2019-04-07,25,27,2019,7879.0
5478,2:11:19,John HAKIZIMANA,1996-10-26,RWA,3,"Five Rings Sports Center, Wuhan (CHN)",2019-10-27,23,24,2019,7879.0
5479,2:11:19,Shuho DAIROKUNO,1992-12-23,JPN,30,Tokyo (JPN),2020-03-01,27,27,2020,7879.0
5480,2:11:20,Gerard NIJBOER,1955-08-18,NED,2,"Lenin Stadium, Moskva (URS)",1980-08-01,24,65,1980,7880.0
5481,2:11:20,Alfredo SHAHANGA,1965-04-14,TAN,6,London (GBR),1991-04-21,26,55,1991,7880.0
5482,2:11:20,Andrés ESPINOZA,1963-02-04,MEX,4,Fukuoka (JPN),1994-12-04,31,57,1994,7880.0
5483,2:11:20,Jung-Won KIM,1973-09-20,PRK,2,Pyongyang (PRK),2000-04-09,26,47,2000,7880.0
5484,2:11:20,Dmitriy KAPITANOV,1968-05-15,RUS,5,Fukuoka (JPN),2001-12-02,33,52,2001,7880.0
5485,2:11:20,Hidenori NOGUCHI,1980-02-22,JPN,9,Otsu (JPN),2002-03-03,22,40,2002,7880.0
5486,2:11:20,David Omiti MAKORI,1973-11-06,KEN,10,Paris (FRA),2002-04-07,28,47,2002,7880.0
5487,2:11:20,Pavel ANDREYEV,1970-04-20,RUS,2,"Duluth, MN (USA)",2002-06-22,32,50,2002,7880.0
5488,2:11:20,Joseph Kahugu NJOROGE,1971-06-07,KEN,13,Berlin (GER),2002-09-29,31,49,2002,7880.0
5489,2:11:20,Luc KROTWAAR,1968-01-25,NED,9,Amsterdam (NED),2002-10-20,34,52,2002,7880.0
5490,2:11:20,Dmitriy BURMAKIN,1981-01-08,RUS,5,Zürich (SUI),2005-04-03,24,39,2005,7880.0
5491,2:11:20,Grigoriy ANDREYEV,1976-01-07,RUS,2,Nagano (JPN),2005-04-17,29,44,2005,7880.0
5492,2:11:20,Shumye ALEMAYEHU,1988-04-06,ETH,5,Xiamen (CHN),2010-01-02,21,32,2010,7880.0
5493,2:11:20,Japheth KOSGEI,1968-12-20,KEN,9,Dubai (UAE),2010-01-22,41,51,2010,7880.0
5494,2:11:20,Mourad MAROUFIT,1982-01-26,MAR,3,Marrakesh (MAR),2011-01-30,29,38,2011,7880.0
5495,2:11:20,Mariusz GIŻYŃSKI,1981-06-26,POL,8,Rotterdam (NED),2012-04-15,30,39,2012,7880.0
5496,2:11:20,Girmay Birhanu GEBRU,1987-01-27,ETH,2,Ljubljana (SLO),2012-10-28,25,33,2012,7880.0
5497,2:11:20,Tola BANE,1988-03-21,ETH,1,Mainz (GER),2013-05-12,25,32,2013,7880.0
5498,2:11:20,Sisay JISA,1982-12-29,ETH,2,Roma (ITA),2014-03-23,31,37,2014,7880.0
5499,2:11:20,Emmanuel SIKUKU,1993-05-12,KEN,4,Zürich (SUI),2014-04-06,20,27,2014,7880.0
5500,2:11:20,Alfred KERING,1978-11-20,KEN,6,Hengshui (CHN),2014-09-20,35,42,2014,7880.0
5501,2:11:20,Bobby CURTIS,1984-11-28,USA,9,"Chicago, IL (USA)",2014-10-12,29,36,2014,7880.0
5502,2:11:20,Richard SIGEI,1985-04-11,KEN,5,Ljubljana (SLO),2015-10-25,30,35,2015,7880.0
5503,2:11:20,Sintayehu LEGESE,1990-01-01,ETH,2,Bloemfontein (RSA),2016-04-16,26,30,2016,7880.0
5504,2:11:20,Bobby CURTIS,1984-11-28,USA,4,Frankfurt (GER),2016-10-30,31,36,2016,7880.0
5505,2:11:20,Ryo HASHIMOTO,1993-09-26,JPN,1,Hofu (JPN),2016-12-18,23,27,2016,7880.0
5506,2:11:20,Geoffrey RONOH,1982-11-29,KEN,17,Tokyo (JPN),2017-02-26,34,38,2017,7880.0
5507,2:11:20,Mathew Kipkoech KISORIO,1989-05-16,KEN,13,Valencia (ESP),2017-11-19,28,31,2017,7880.0
5508,2:11:20,Tsukasa KOYAMA,1992-01-21,JPN,5,Oita (JPN),2018-02-04,26,28,2018,7880.0
5509,2:11:20,Alemu BEKELE,1990-03-23,BRN,6,Madrid (ESP),2018-04-22,28,30,2018,7880.0
5510,2:11:20,Ryoma TAKEUCHI,1992-05-29,JPN,11,Beppu (JPN),2019-02-03,26,28,2019,7880.0
5511,2:11:20,Bilal MARHOUM,1991-02-15,MAR,12,Marrakesh (MAR),2020-01-26,28,29,2020,7880.0
5512,2:11:20,Ben CONNOR,1992-10-17,GBR,15,London (GBR),2020-10-04,27,28,2020,7880.0
5513,2:11:21,Rod DIXON,1950-07-13,NZL,1,Auckland (NZL),1982-05-30,31,70,1982,7881.0
5514,2:11:21,Ralf SALZMANN,1955-02-06,FRG,4,Tokyo (JPN),1984-02-12,29,65,1984,7881.0
5515,2:11:21,Yasushi SAKAGUCHI,1961-09-02,JPN,2,Otsu (JPN),1987-03-08,25,59,1987,7881.0
5516,2:11:21,Sławomir GURNY,1964-09-02,POL,5,Paris (FRA),1993-04-25,28,56,1993,7881.0
5517,2:11:21,Tadesse GEBRE BECHO,1968-01-01,ETH,4,Torino (ITA),1994-04-24,26,52,1994,7881.0
5518,2:11:21,Diego GARCÍA,1961-10-12,ESP,1,Sevilla (ESP),1995-02-26,33,59,1995,7881.0
5519,2:11:21,Carlos BAUTISTA,1968-02-17,MEX,2,"Chicago, IL (USA)",1995-10-15,27,52,1995,7881.0
5520,2:11:21,Eamonn MARTIN,1958-10-09,GBR,4,"Chicago, IL (USA)",1996-10-20,38,62,1996,7881.0
5521,2:11:21,Pat CARROLL,1961-08-17,AUS,1,Brisbane (AUS),1997-07-13,35,59,1997,7881.0
5522,2:11:21,Turbo TUMO,1970-02-23,ETH,6,Chuncheon (KOR),1997-10-26,27,50,1997,7881.0
5523,2:11:21,Zebedaiyo BAYO,1976-05-20,TAN,1,"Los Angeles, CA (USA)",1998-03-29,21,44,1998,7881.0
5524,2:11:21,Takaki MORIKAWA,1971-08-30,JPN,8,Fukuoka (JPN),1998-12-06,27,49,1998,7881.0
5525,2:11:21,Lee TROOP,1973-03-22,AUS,11,London (GBR),1999-04-18,26,47,1999,7881.0
5526,2:11:21,Eliud LANGAT,1977-01-01,KEN,6,Hamburg (GER),2002-04-21,25,43,2002,7881.0
5527,2:11:21,Willy CHERUIYOT,1974-08-02,KEN,6,Roma (ITA),2003-03-23,28,46,2003,7881.0
5528,2:11:21,Samson RAMADHANI,1982-12-25,TAN,15,"Stade de France, Paris-St-Denis (FRA)",2003-08-30,20,37,2003,7881.0
5529,2:11:21,Toshinari TAKAOKA,1970-09-24,JPN,16,Paris (FRA),2008-04-06,37,50,2008,7881.0
5530,2:11:21,Stephen Kipkosgei BIWOTT,1974-01-01,KEN,3,Trieste (ITA),2008-05-04,34,46,2008,7881.0
5531,2:11:21,Kenai Kiprotich KENEI,1978-01-01,KEN,8,Seoul (KOR),2008-11-02,30,42,2008,7881.0
5532,2:11:21,Philip MANYIM,1978-03-24,KEN,9,Roma (ITA),2009-03-22,30,42,2009,7881.0
5533,2:11:21,Isaac Wanjohi MACHARIA,1978-11-25,KEN,1,Nagano (JPN),2009-04-19,30,42,2009,7881.0
5534,2:11:21,Ben Kipruto CHEBET,1982-02-22,KEN,1,Firenze (ITA),2009-11-29,27,38,2009,7881.0
5535,2:11:21,Japhet KIPKORIR,1981-04-07,KEN,7,Mumbai (IND),2011-01-16,29,39,2011,7881.0
5536,2:11:21,Mariko KIPCHUMBA KIPLAGAT,1974-07-04,KEN,1,Bregenz (AUT),2011-10-02,37,46,2011,7881.0
5537,2:11:21,Isaac ARUSEI,1976-08-10,KEN,21,Frankfurt (GER),2011-10-30,35,44,2011,7881.0
5538,2:11:21,Kimutai KIPLIMO,1981-12-10,KEN,2,Toronto (CAN),2012-10-14,30,39,2012,7881.0
5539,2:11:21,Takaaki KODA,1984-03-27,JPN,6,Oita (JPN),2014-02-02,29,36,2014,7881.0
5540,2:11:21,Haile Haja GEMEDA,1988-10-22,ETH,4,Łódź (POL),2014-04-13,25,32,2014,7881.0
5541,2:11:21,Eric GILLIS,1980-03-08,CAN,9,Toronto (CAN),2014-10-19,34,40,2014,7881.0
5542,2:11:21,Dejene KELKILEW,1991-01-01,ETH,1,Reims (FRA),2014-10-19,23,29,2014,7881.0
5543,2:11:21,Julius NDERITU,1979-10-07,KEN,1,Odense (DEN),2015-10-04,35,41,2015,7881.0
5544,2:11:21,Tesfa WOKNETH,1984-09-30,ETH,5,Shanghai (CHN),2015-11-08,31,36,2015,7881.0
5545,2:11:21,Regasa BEJIGA,1980-01-01,ETH,1,Hangzhou (CHN),2016-11-06,36,40,2016,7881.0
5546,2:11:21,Hassane AHOUCHAR,1975-01-01,MAR,1,Mersin (TUR),2017-12-03,42,45,2017,7881.0
5547,2:11:21,Naoya SAKUDA,1994-12-17,JPN,3,Nagano (JPN),2019-04-21,24,25,2019,7881.0
5548,2:11:21,Fikadu HAFTU,1994-02-21,ETH,6,Abu Dhabi (UAE),2019-12-06,25,26,2019,7881.0
5549,2:11:22,Richard CALLISON,1954-05-23,USA,2,"Metairie, LA (USA)",1980-02-10,25,66,1980,7882.0
5550,2:11:22,Dave CANNON,1950-08-07,GBR,1,Montreal (CAN),1980-09-06,30,70,1980,7882.0
5551,2:11:22,Stefano BRUNETTI,1957-07-09,ITA,3,Tokyo (JPN),1982-01-31,24,63,1982,7882.0
5552,2:11:22,Jörg PETER,1955-10-23,GDR,3,Fukuoka (JPN),1987-12-06,32,65,1987,7882.0
5553,2:11:22,Philippe REMOND,1963-11-09,FRA,5,Paris (FRA),1995-04-02,31,57,1995,7882.0
5554,2:11:22,Paul YEGO,1968-11-25,KEN,7,Berlin (GER),1996-09-29,27,52,1996,7882.0
5555,2:11:22,Nicola CIAVARELLA,1968-09-27,ITA,2,Napoli (ITA),2001-03-18,32,52,2001,7882.0
5556,2:11:22,Francesco INGARGIOLA,1973-02-15,ITA,7,Milano (ITA),2001-12-02,28,47,2001,7882.0
5557,2:11:22,Toshiya KATAYAMA,1973-04-23,JPN,10,Otsu (JPN),2002-03-03,28,47,2002,7882.0
5558,2:11:22,Atsushi FUJITA,1976-11-06,JPN,1,Seoul (KOR),2002-03-17,25,44,2002,7882.0
5559,2:11:22,Seiji KUSHIBE,1971-11-11,JPN,3,Hofu (JPN),2002-12-15,31,49,2002,7882.0
5560,2:11:22,Joseph Peter KADON,1970-01-01,KEN,6,Zürich (SUI),2005-04-03,35,50,2005,7882.0
5561,2:11:22,Tomoyuki SATO,1981-01-31,JPN,2,Tokyo (JPN),2007-02-18,26,39,2007,7882.0
5562,2:11:22,Sammy CHUMBA,1978-08-09,KEN,2,Utrecht (NED),2007-04-09,28,42,2007,7882.0
5563,2:11:22,Elias Kiptum MAINDI,1980-06-06,KEN,1,Linz (AUT),2009-05-17,28,40,2009,7882.0
5564,2:11:22,Reuben KOSGEI,1979-08-12,KEN,2,Firenze (ITA),2009-11-29,30,41,2009,7882.0
5565,2:11:22,Cyrus Gichobi NJUI,1986-02-11,KEN,1,Sapporo (JPN),2010-08-29,24,34,2010,7882.0
5566,2:11:22,Edwin KIMAIYO,1986-01-01,KEN,2,Münster (GER),2010-09-12,24,34,2010,7882.0
5567,2:11:22,Hassane AHOUCHAR,1975-01-01,MAR,5,Valencia (ESP),2012-11-18,37,45,2012,7882.0
5568,2:11:22,Tilahun ALIYEV,1990-03-21,AZE,18,Dubai (UAE),2013-01-25,22,30,2013,7882.0
5569,2:11:22,Wosen ZELEKE,1992-07-01,ETH,19,Dubai (UAE),2013-01-25,20,28,2013,7882.0
5570,2:11:22,Abdi FUFA,1995-09-27,ETH,5,Barcelona (ESP),2016-03-13,20,25,2016,7882.0
5571,2:11:22,Paul MAINA,1982-08-26,KEN,1,Münster (GER),2017-09-10,35,38,2017,7882.0
5572,2:11:22,Abraham KIPROTICH,1983-08-17,FRA,1,Istanbul (TUR),2017-11-12,34,37,2017,7882.0
5573,2:11:22,Dejene DEBELA,1995-01-09,ETH,1,Xiamen (CHN),2018-01-07,22,25,2018,7882.0
5574,2:11:22,Moses GAIKARIRA,1986-04-04,KEN,2,Málaga (ESP),2018-12-09,32,34,2018,7882.0
5575,2:11:23,Hiroshi NODA,1960-04-06,JPN,3,Otsu (JPN),1985-03-10,24,60,1985,7883.0
5576,2:11:23,Patrick PETERSEN,1959-12-03,USA,6,London (GBR),1985-04-21,25,61,1985,7883.0
5577,2:11:23,Taisuke KODAMA,1958-07-26,JPN,2,Seoul (KOR),1987-04-12,28,62,1987,7883.0
5578,2:11:23,John TREACY,1957-06-04,IRL,2,Tokyo (JPN),1990-02-12,32,63,1990,7883.0
5579,2:11:23,Lucketz SWARTBOOI,1966-02-07,NAM,1,Swakopmund (NAM),1992-04-25,26,54,1992,7883.0
5580,2:11:23,Takayuki ISHIMOTO,1969-11-27,JPN,1,Hofu (JPN),1997-12-14,28,51,1997,7883.0
5581,2:11:23,Stephen NDUNGU,1967-06-01,KEN,1,"Houston, TX (USA)",1998-01-18,30,53,1998,7883.0
5582,2:11:23,Luiz Antonio DOS SANTOS,1964-09-06,BRA,11,"Chicago, IL (USA)",1998-10-11,34,56,1998,7883.0
5583,2:11:23,Leszek BEBŁO,1966-07-08,POL,9,Fukuoka (JPN),1998-12-06,32,54,1998,7883.0
5584,2:11:23,Roberto BARBI,1965-03-25,ITA,3,Venezia (ITA),1999-10-24,34,55,1999,7883.0
5585,2:11:23,Benjamin PAREDES,1962-04-30,MEX,1,Torreón (MEX),2000-03-05,37,58,2000,7883.0
5586,2:11:23,Andrés ESPINOZA,1963-02-04,MEX,2,Torreón (MEX),2000-03-05,37,57,2000,7883.0
5587,2:11:23,Javier CABALLERO,1972-03-24,ESP,11,Paris (FRA),2002-04-07,30,48,2002,7883.0
5588,2:11:23,Tesfaye ETICHA,1974-09-16,ETH,1,Lausanne (SUI),2002-10-20,28,46,2002,7883.0
5589,2:11:23,Migidio BOURIFA,1969-01-31,ITA,6,Milano (ITA),2002-12-01,33,51,2002,7883.0
5590,2:11:23,Charles Kibiwott SERONEI,1974-08-08,KEN,4,"Los Angeles, CA (USA)",2003-03-02,28,46,2003,7883.0
5591,2:11:23,Frederick CHUMBA,1974-01-01,KEN,7,Roma (ITA),2003-03-23,29,46,2003,7883.0
5592,2:11:23,Danilo GOFFI,1972-12-03,ITA,5,Milano (ITA),2003-11-30,30,48,2003,7883.0
5593,2:11:23,Dejene BIRHANU,1980-12-12,ETH,7,Roma (ITA),2008-03-16,27,40,2008,7883.0
5594,2:11:23,Aden Jemal HUSSEIN,1986-01-01,ETH,2f1,Sevilla (ESP),2009-02-22,23,34,2009,7883.0
5595,2:11:23,John MUTAI,1987-11-23,KEN,3,See Genezareth (ISR),2010-01-07,22,33,2010,7883.0
5596,2:11:23,Beraki BEYENE ZEREA,1980-02-06,ERI,9,Toronto (CAN),2010-09-26,30,40,2010,7883.0
5597,2:11:23,Reid COOLSAET,1979-07-29,CAN,10,Toronto (CAN),2010-09-26,31,41,2010,7883.0
5598,2:11:23,Solomon Tsige ASFAW,1985-01-23,ETH,8,Roma (ITA),2011-03-20,26,35,2011,7883.0
5599,2:11:23,Ruggero PERTILE,1974-08-08,ITA,2,Milano (ITA),2011-04-10,36,46,2011,7883.0
5600,2:11:23,Jason MBOTE,1977-01-05,KEN,6,Hannover (GER),2011-05-08,34,43,2011,7883.0
5601,2:11:23,Michael SHELLEY,1983-10-10,AUS,11,Amsterdam (NED),2011-10-16,28,37,2011,7883.0
5602,2:11:23,Teferi WODAJO,1982-01-27,ETH,3,Łódź (POL),2013-04-14,31,38,2013,7883.0
5603,2:11:23,Peter Cheruiyot KIRUI,1988-01-02,KEN,8,"New York, NY (USA)",2013-11-03,25,32,2013,7883.0
5604,2:11:23,Marcin CHABOWSKI,1986-06-28,POL,5,Łódź (POL),2014-04-13,27,34,2014,7883.0
5605,2:11:23,Debebe TOLOSSA,1980-01-01,ETH,5,Beijing (CHN),2014-10-19,34,40,2014,7883.0
5606,2:11:23,Regasa BEJIGA,1980-01-01,ETH,1,Zhengzhou (CHN),2016-03-27,36,40,2016,7883.0
5607,2:11:23,Abel KIRUI,1982-06-04,KEN,1,"Chicago, IL (USA)",2016-10-09,34,38,2016,7883.0
5608,2:11:23,Khalid CHOUKOUD,1986-03-23,NED,14,Amsterdam (NED),2016-10-16,30,34,2016,7883.0
5609,2:11:23,Abdi ABDIRAHMAN,1978-12-02,USA,3,"New York, NY (USA)",2016-11-06,37,42,2016,7883.0
5610,2:11:23,Tadashi ISSHIKI,1994-06-05,JPN,11,Hamburg (GER),2019-04-28,24,26,2019,7883.0
5612,2:11:23,Takuma KUMAGAI,1990-05-17,JPN,11,Fukuoka (JPN),2020-12-06,30,30,2020,7883.0
5613,2:11:24,Karel LISMONT,1949-03-08,BEL,9,"Olympic Stadium, Helsinki (FIN)",1983-08-14,34,71,1983,7884.0
5614,2:11:24,Ken MARTIN,1958-09-10,USA,1,"Sacramento, CA (USA)",1984-12-02,26,62,1984,7884.0
5615,2:11:24,Dominique CHAUVELIER,1956-08-03,FRA,5,Milano (ITA),1989-04-16,32,64,1989,7884.0
5616,2:11:24,John SEBATA,1956-01-07,RSA,2,Port Elizabeth (RSA),1990-02-24,34,64,1990,7884.0
5617,2:11:24,Ki-shik CHANG,1970-11-14,KOR,1,Chuncheon (KOR),1992-11-06,21,50,1992,7884.0
5618,2:11:24,José Esteban MONTIEL,1962-09-20,ESP,6,Paris (FRA),1995-04-02,32,58,1995,7884.0
5619,2:11:24,Leonid SHVETSOV,1969-03-28,RUS,3,"Chicago, IL (USA)",1995-10-15,26,51,1995,7884.0
5620,2:11:24,Luiz Antonio DOS SANTOS,1964-09-06,BRA,3,Fukuoka (JPN),1996-12-01,32,56,1996,7884.0
5621,2:11:24,Yasuaki YAMAMOTO,1972-08-05,JPN,10,Fukuoka (JPN),1998-12-06,26,48,1998,7884.0
5622,2:11:24,Wataru OKUTANI,1975-01-09,JPN,5,Tokyo (JPN),1999-02-14,24,45,1999,7884.0
5623,2:11:24,Dmitriy KAPITANOV,1968-05-15,RUS,2,Praha (CZE),1999-05-23,31,52,1999,7884.0
5624,2:11:24,Kipkemboi Vincent CHERUIYOT,1970-08-10,KEN,2,Carpi (ITA),1999-10-10,29,50,1999,7884.0
5625,2:11:24,Seung-do BAEK,1968-06-16,KOR,9,Fukuoka (JPN),1999-12-05,31,52,1999,7884.0
5626,2:11:24,Fred KIPROP,1974-06-03,KEN,3,Madrid (ESP),2001-10-28,27,46,2001,7884.0
5627,2:11:24,Luís JESUS,1968-11-19,POR,3,Wien (AUT),2004-05-16,35,52,2004,7884.0
5628,2:11:24,Willy CHERUIYOT,1974-08-02,KEN,2,Dubai (UAE),2005-01-06,30,46,2005,7884.0
5629,2:11:24,Teferi WODAJO,1982-01-27,ETH,1,Köln (GER),2006-10-08,24,38,2006,7884.0
5630,2:11:24,Sylvester Kimeli TEIMET,1984-06-04,KEN,5,Chuncheon (KOR),2009-10-25,25,36,2009,7884.0
5631,2:11:24,Charles Waweru KAMATHI,1978-05-18,KEN,2,Milano (ITA),2010-04-11,31,42,2010,7884.0
5632,2:11:24,Andrew CARLSON,1982-04-27,USA,6,"Houston, TX (USA)",2012-01-14,29,38,2012,7884.0
5633,2:11:24,Paul TANGUS,1974-01-01,KEN,13,Seoul (KOR),2012-03-18,38,46,2012,7884.0
5634,2:11:24,Hassane AHOUCHAR,1975-01-01,MAR,9,Chongqing (CHN),2012-03-18,37,45,2012,7884.0
5635,2:11:24,Elias KEMBOI,1984-03-10,KEN,2,Hangzhou (CHN),2012-11-18,28,36,2012,7884.0
5636,2:11:24,Serhiy LEBID,1975-07-15,UKR,2,Lisboa (POR),2013-10-06,38,45,2013,7884.0
5637,2:11:24,Lukas Lokobe KANDA,1983-01-01,KEN,10,Amsterdam (NED),2013-10-20,30,37,2013,7884.0
5638,2:11:24,Reid COOLSAET,1979-07-29,CAN,6,Fukuoka (JPN),2013-12-01,34,41,2013,7884.0
5639,2:11:24,Reid COOLSAET,1979-07-29,CAN,7,Rotterdam (NED),2015-04-12,35,41,2015,7884.0
5640,2:11:24,Scott OVERALL,1983-02-09,GBR,10,Berlin (GER),2015-09-27,32,37,2015,7884.0
5641,2:11:24,Dennis Musembi NDISO,1983-12-31,KEN,2,Zhengzhou (CHN),2016-03-27,32,36,2016,7884.0
5642,2:11:24,Edwin KIPTOO,1987-12-28,KEN,3,Brighton (GBR),2016-04-17,28,32,2016,7884.0
5643,2:11:24,Hiroaki SANO,1988-02-28,JPN,7,Berlin (GER),2017-09-24,29,32,2017,7884.0
5644,2:11:24,Tadesse ABRAHAM,1982-08-12,SUI,2,"Olympiastadion, Berlin (GER)",2018-08-12,36,38,2018,7884.0
5646,2:11:24,Takumi KIYOTANI,1989-01-24,JPN,12,Beppu (JPN),2019-02-03,30,31,2019,7884.0
5647,2:11:24,Nicholas ROTICH,1996-12-29,KEN,3,Linz (AUT),2019-04-14,22,23,2019,7884.0
5648,2:11:24,Patricio CASTILLO,1992-02-17,MEX,39,Valencia (ESP),2020-12-06,28,28,2020,7884.0
5649,2:11:25,Randy THOMAS,1953-07-28,USA,5,"Boston, MA (USA)",1978-04-17,24,67,1978,7885.0
5650,2:11:25,Giuseppe GERBI,1955-09-13,ITA,1,Ferrara (ITA),1982-05-02,26,65,1982,7885.0
5651,2:11:25,Djama ROBLEH,1958-01-01,DJI,1,Lyon (FRA),1984-04-07,26,62,1984,7885.0
5652,2:11:25,Bruno LAFRANCHI,1955-07-19,SUI,3,Fukuoka (JPN),1986-12-07,31,65,1986,7885.0
5653,2:11:25,Paul DAVIES-HALE,1962-06-21,GBR,1,"Chicago, IL (USA)",1989-10-29,27,58,1989,7885.0
5654,2:11:25,Zehirun GIZAW,1965-03-21,ETH,8,London (GBR),1992-04-12,27,55,1992,7885.0
5655,2:11:25,Jan HURUK,1960-01-27,POL,5,Fukuoka (JPN),1992-12-06,32,60,1992,7885.0
